id;titulo;ano;diretor;duracao;generos;pais;orcamento;receita;nota_imdb;ator_1;ator_2;ator_3
tt0036398;L'isola di nessuno;1943;Albert H. Kelley;65;Drama| War;USA;NA;NA;4,5;John Litel; Alan Baxter; Eric Blore
tt0036406;Sweet Rosie O'Grady;1943;Irving Cummings;74;Musical;USA;1185000;NA;6,5;Betty Grable; Robert Young; Adolphe Menjou
tt0036407;Swing Shift Maisie;1943;Norman Z. McLeod;87;Action| Adventure| Comedy;USA;NA;NA;6,3;Ann Sothern; James Craig; Jean Rogers
tt0036418;Eravamo tanto felici;1943;Edward Dmytryk;102;Drama| Romance| War;USA;NA;NA;6,3;Ginger Rogers; Robert Ryan; Ruth Hussey
tt0036419;Tennessee Johnson;1942;William Dieterle;103;Biography| Drama;USA;NA;NA;6,6;Van Heflin; Lionel Barrymore; Ruth Hussey
tt0036422;Thank Your Lucky Stars;1943;David Butler;127;Comedy| Musical;USA;1568000;NA;7,0;Humphrey Bogart; Eddie Cantor; Bette Davis
tt0036423;Nazty Nuisance;1943;Glenn Tryon;50;Action| Adventure| Comedy;USA;NA;NA;4,6;Bobby Watson; Joe Devlin; Johnny Arthur
tt0036426;They Came to Blow Up America;1943;Edward Ludwig;73;Drama| War;USA;NA;NA;6,4;George Sanders; Anna Sten; Ward Bond
tt0036427;Ho salvato l'America;1943;David Butler;95;Comedy| Music| Romance;USA;NA;NA;6,8;Bob Hope; Dorothy Lamour; Lenore Aubert
tt0036430;This Is the Army;1943;Michael Curtiz;121;Comedy| Musical| War;USA;NA;NA;5,8;George Murphy; Joan Leslie; George Tobias
tt0036431;Questa terra è mia;1943;Jean Renoir;103;Drama| War;USA;NA;NA;7,6;Charles Laughton; Maureen O'Hara; George Sanders
tt0036432;La parata delle stelle;1943;George Sidney;125;Comedy| Drama| Musical;USA;NA;NA;6,2;Kathryn Grayson; Gene Kelly; Mary Astor
tt0036433;Three Hearts for Julia;1943;Richard Thorpe;83;Adventure| Comedy| Music;USA;NA;NA;5,8;Ann Sothern; Melvyn Douglas; Lee Bowman
